serial_number;comment
210404421;ДП-019 №210310652,  ЭПУ №21661224
210404422;ДП-019 №210310674,  ЭПУ №21061207
210404414;ДП-019 №210310653,  ЭПУ №21061222
210404419;ДП-019 №210310675,  ЭПУ №21061214
210404408;ДП-019 №210310668,  ЭПУ №21061216
210404418;ДП-019 №210310658,  ЭПУ №21061212
210404400;ДП-019 №210210585,  ЭПУ №21061223
210404393;ДП-019 №210310661,  ЭПУ №21061206
210404410;ДП-019 №210210613,  ЭПУ №21061250
210404411;ДП-019 №210210587,  ЭПУ №21061266
210404518;ДП-019 №210610705, ЭПУ №21081286
201204075;ЭПУ №21051196
201204083;ЭПУ №21051193
210304248;ЭПУ №21041151
210304273;ЭПУ №21041143
220105016;ДП-019 №220111348,  ЭПУ №22031459
220104991;ДП-019 №220111345,  ЭПУ №22031461
220104968;ДП-019 №220111339,  ЭПУ №22031446
210604689;ДП-019 №210510883, ДИ №210625258, ТПТ 1-4 100П №19718
210304245;ЭПУ №21051172
201204079;ЭПУ №21051167
201204081;ЭПУ №21051173
201204054;ЭПУ №21051169
201103974;ЭПУ №21051175
201204132;ЭПУ №21051168
201204076;ЭПУ №21061221
201204059;ЭПУ №21051192
201204204;ЭПУ №21031126
201204210;ЭПУ №21041139
210504572;"ДИ-017 0...25МПа;   ДП-019 0...2500кПа ;   d20=30мм  D20=92мм"
220105009;ДП-019 №22011346,  ЭПУ №22031460
220105011;ДП-019 №220111243,  ЭПУ №22031445
220105104;ДП-019 №220111342,  ЭПУ №22031455
220105032;ДП-019 №22011133,  ЭПУ №22031450
210604690;ДП-019 №210510874, ДИ №210625243, ТПТ 1-4 100П №19729
8972YD1R;ГСУ1
8972QFGJ;ГСУ1
210704703;ДП-019 №210410848, ДИ №210625204, ТПТ 1-4 100П №16002
210504557;ДП-019 №210410829, ДИ №210623178, ТПТ 1-4 100П №16006
210504564;ДП-019 №210504564, ДИ №210625170, ТПТ 1-4 100П №19721
210504561;ДП-019 №210410804, ДИ №210324808, ТПТ 1-4 100П №16085
21060461;ДП-019 №210510864, ДИ №210725431, ТПТ 1-4 100П №16011
210604691;ДП-019 №210510894, ДИ №210625265, ТПТ 1-4 100П №19717
210304306;ДП-019 №210310692,  ЭПУ №21061242
210404525;"ДИ-017 0...25МПа;   ДП-019 0...2500кПа"
222001525;УОК 206
212015665;УОК 206
212015712;УОК 206
210404373;ДП-019 №210210591,  ЭПУ №21061256
210404409;ДП-019 №210210604,  ЭПУ №21061257
210404406;ДП-019 №210210612,  ЭПУ №21061251
210304309;ДП-019 №210414566,  ЭПУ №21061259
210404376;ДП-019 №210414858,  ЭПУ №21061263
210404413;ДП-019 №210210622,  ЭПУ №21061261
210304310;ДП-019 №210416855,  ЭПУ №21061255
210504555;ДП-019 №210410811, ДИ №210625168, ТПТ 1-4 100П №16008
210404417;ДП-019 №210416718,  ЭПУ №21061245
210404404;ДП-019 №210310654,  ЭПУ №21061229
210404386;ДП-019 №210310643,  ЭПУ №21061227
210404515;ДП-019 №210610684,  ЭПУ №21081287
201204067;ДП-019 №21011050,  ЭПУ №21051198
201204071;ДП-019 №210110498, ЭПУ №21051202
201204078;ДП-019 №210110487,  ЭПУ №21051194
201204201;ДП-019 №210110504,  ЭПУ №21031124
201204202;ДП-019 №210110525,  ЭПУ №21041142
201204223;ДП-019 №210110506,  ЭПУ №21041137
201204146;ДП-019 №210110484,  ЭПУ №21041149
201204128;ДП-019 №210110497,  ЭПУ №21051197
201204077;ДП-019 №210110511,  ЭПУ №21051201
201204035;ДП-019 №210110489,  ЭПУ №21051205
210304244;ДП-019 №210110492,  ЭПУ №21041152
212023976;УОК 206
210604671; ДИ-017 зав. №210725431 , 0..25 МПа,  ДП-019 зав.№210510864  0..2500 кПа ,  d20=30мм  D20=92мм
220105252; ДИ-017 зав. №220126380, 0...25 МПа,   ДП-019 зав.№220111213, 0...2500 кПа  d20=30мм  D20=92мм
220405622; ДИ-017 зав. №220727376, 0...25 МПа      ДП-019 зав.№220511858,  0...2500кПа    d20=30мм  D20=92мм
220104970; ДИ-017 №         0...25 МПа ,     ДП-019 №         0...2500кПа    
220104977; ДИ-017 №         0...25 МПа ,     ДП-019 №         0...2500кПа    
210404529;"ДИ-017 0...25МПа;   ДП-019 0...2500кПа"
210404385;"ДИ-017 0...25МПа;   ДП-019 0...2500кПа"
210404504;"ДИ-017 0...25МПа;   ДП-019 0...2500кПа"
240211;Метанол
240224;Газ
201204169;ДП-019 №210210336, ЭПУ №22031448
210404464;ДП-019 №210510334, ДИ №210525112, ТПТ 1-4 100П №9792
220305555;ДП-019 №220511419
210404509;ДП-019 №210610352, ДИ №210625194, ТПТ 1-4 100П №16050
210404543;ДП-019 №210619869, ДИ №210625122, ТПТ 1-4 100П №16090
210504552;ДП-019 №210610339, ДИ №210625172, ТПТ 1-4 100П №16079
210404352;ДП-019 №210510350, ДИ №210525093, ТПТ 1-4 100П №16039
210404441;ДП-019 №210619866, ДИ №210625160, ТПТ 1-4 100П №16005
222045737;Метанол
222045735;Метанол
212001787;Газ
212023979;Метанол
222045741;Метанол
222045738;Метанол
212023971;Метанол
222045733;Газ
222045748;Газ
222045747;Газ
222045736;Газ
735417151A06;Метанол
735417151A09;Газ
210404374;ЭПУ №21061218, Сужающее устройство №21071834
210404356;ЭПУ №21061213, Сужающее устройство №21071836
210404426;ДП-019 №210310663, ЭПУ №21061225
210404360;ДП-019 №210310683, ЭПУ №21061208
210504554;ДП-019 №210410849, ДИ №210625185, ТПТ 1-4 100П №16012
210404379;ДП-019 №210310671, ЭПУ №21061220
210404396;ДП-019 №210410769, ЭПУ №21061211
735417288A07;Газ
191406;Газ на сжигание, списание запасов
191404;Газ на сжигание, списание запасов
191410;Газ на сжигание, списание запасов
191405;Газ на сжигание, списание запасов
191407;Газ на сжигание, списание запасов
