name;type;manufacturer;serial_number;model;poz;location;tag
Эл. привод;РэмТэк;ООО НПП ТЭК;211001;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 204;скв-2;Зд 1\2
Эл. привод;РэмТэк;ООО НПП ТЭК;211317;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-3;Кш 8.3
Эл. привод;РэмТэк;ООО НПП ТЭК;211324;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-3;Кш 9.3
Эл. привод;РэмТэк;ООО НПП ТЭК;211189;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 204;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;21995;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 204;скв-3;Зд 1\3
Эл. привод;РэмТэк;ООО НПП ТЭК;211101;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-4;Кш 9.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211099;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211188;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 204;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;21998;М.300.60.15.8100/И.S.15.3.УХЛ1;КГС 204;скв-4;Зд 1\4
Эл. привод;РэмТэк;ООО НПП ТЭК;211179;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211102;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-5;Кш 9.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211172;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 204;скв-5;Кр 3\5
Эл. привод;РэмТэк;ООО НПП ТЭК;21999;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 204;скв-5;Зд 1\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211100;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-6;Кш 8.6
Эл. привод;РэмТэк;ООО НПП ТЭК;211280;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-6;Кш 9.6
Эл. привод;РэмТэк;ООО НПП ТЭК;211171;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 204;скв-6;Кр 3\6
Эл. привод;РэмТэк;ООО НПП ТЭК;211025;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 204;скв-6;Зд 1\6
Эл. привод;РэмТэк;ООО НПП ТЭК;212329;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 204;КШМ;КШМ
Эл. привод;РэмТэк;ООО НПП ТЭК;21261;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-1;Кш 8.1
Эл. привод;РэмТэк;ООО НПП ТЭК;21255;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-1;Кш 9.1
Эл. привод;РэмТэк;ООО НПП ТЭК;21101;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 205;скв-1;Кр 3\1
Эл. привод;РэмТэк;ООО НПП ТЭК;21142;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 205;скв-1;Зд 1\1
Эл. привод;РэмТэк;ООО НПП ТЭК;21263;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-2;Кш 8.2
Эл. привод;РэмТэк;ООО НПП ТЭК;21250;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-2;Кш 9.2
Эл. привод;РэмТэк;ООО НПП ТЭК;21083;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 205;скв-2;Кр 3\2
Эл. привод;РэмТэк;ООО НПП ТЭК;21152;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 205;скв-2;Зд 1\2
Эл. привод;РэмТэк;ООО НПП ТЭК;21265;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-3;Кш 8.3
Эл. привод;РэмТэк;ООО НПП ТЭК;21220;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-3;Кш 9.3
Эл. привод;РэмТэк;ООО НПП ТЭК;21084;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 205;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;21145;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 205;скв-3;Зд 1\3
Эл. привод;РэмТэк;ООО НПП ТЭК;00000044;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-4;Кш 9.4
